name,desc,latitude,longitude 
229,"RecordNo: 229, RC:-10534, Lat:42.450555, Long:-83.276799 ",42.450555,-83.276799
230,"RecordNo: 230, RC:-10534, Lat:42.450555, Long:-83.276799 ",42.450555,-83.276799
231,"RecordNo: 231, RC:-10534, Lat:42.450554, Long:-83.276780 ",42.450554,-83.27678
232,"RecordNo: 232, RC:23460, Lat:42.450554, Long:-83.276780 ",42.450554,-83.27678
233,"RecordNo: 233, RC:23460, Lat:42.450554, Long:-83.276780 ",42.450554,-83.27678
234,"RecordNo: 234, RC:23460, Lat:42.450554, Long:-83.276780 ",42.450554,-83.27678
235,"RecordNo: 235, RC:23460, Lat:42.450553, Long:-83.276754 ",42.450553,-83.276754
236,"RecordNo: 236, RC:-25740, Lat:42.450553, Long:-83.276754 ",42.450553,-83.276754
237,"RecordNo: 237, RC:-25740, Lat:42.450553, Long:-83.276754 ",42.450553,-83.276754
238,"RecordNo: 238, RC:-25740, Lat:42.450553, Long:-83.276734 ",42.450553,-83.276734
239,"RecordNo: 239, RC:-11096, Lat:42.450553, Long:-83.276734 ",42.450553,-83.276734
240,"RecordNo: 240, RC:-11096, Lat:42.450553, Long:-83.276734 ",42.450553,-83.276734
241,"RecordNo: 241, RC:-11096, Lat:42.450553, Long:-83.276734 ",42.450553,-83.276734
242,"RecordNo: 242, RC:-11096, Lat:42.450552, Long:-83.276721 ",42.450552,-83.276721
243,"RecordNo: 243, RC:-5338, Lat:42.450552, Long:-83.276721 ",42.450552,-83.276721
244,"RecordNo: 244, RC:-5338, Lat:42.450552, Long:-83.276721 ",42.450552,-83.276721
245,"RecordNo: 245, RC:-5338, Lat:42.450552, Long:-83.276721 ",42.450552,-83.276721
246,"RecordNo: 246, RC:-5338, Lat:42.450552, Long:-83.276695 ",42.450552,-83.276695
247,"RecordNo: 247, RC:-3265, Lat:42.450552, Long:-83.276695 ",42.450552,-83.276695
248,"RecordNo: 248, RC:-3265, Lat:42.450552, Long:-83.276695 ",42.450552,-83.276695
249,"RecordNo: 249, RC:-3265, Lat:42.450552, Long:-83.276695 ",42.450552,-83.276695
250,"RecordNo: 250, RC:-3265, Lat:42.450551, Long:-83.276668 ",42.450551,-83.276668
251,"RecordNo: 251, RC:-3997, Lat:42.450551, Long:-83.276668 ",42.450551,-83.276668
252,"RecordNo: 252, RC:32767, Lat:42.450551, Long:-83.276668 ",42.450551,-83.276668
253,"RecordNo: 253, RC:32767, Lat:42.450551, Long:-83.276668 ",42.450551,-83.276668
254,"RecordNo: 254, RC:32767, Lat:42.450550, Long:-83.276655 ",42.45055,-83.276655
255,"RecordNo: 255, RC:2581, Lat:42.450550, Long:-83.276655 ",42.45055,-83.276655
256,"RecordNo: 256, RC:2581, Lat:42.450550, Long:-83.276655 ",42.45055,-83.276655
257,"RecordNo: 257, RC:2581, Lat:42.450550, Long:-83.276655 ",42.45055,-83.276655
258,"RecordNo: 258, RC:2581, Lat:42.450550, Long:-83.276635 ",42.45055,-83.276635
259,"RecordNo: 259, RC:-5071, Lat:42.450550, Long:-83.276635 ",42.45055,-83.276635
260,"RecordNo: 260, RC:-5071, Lat:42.450550, Long:-83.276635 ",42.45055,-83.276635
261,"RecordNo: 261, RC:-5071, Lat:42.450550, Long:-83.276609 ",42.45055,-83.276609
262,"RecordNo: 262, RC:-8445, Lat:42.450550, Long:-83.276609 ",42.45055,-83.276609
263,"RecordNo: 263, RC:-8445, Lat:42.450550, Long:-83.276609 ",42.45055,-83.276609
264,"RecordNo: 264, RC:-8445, Lat:42.450550, Long:-83.276609 ",42.45055,-83.276609
265,"RecordNo: 265, RC:-8445, Lat:42.450549, Long:-83.276596 ",42.450549,-83.276596
266,"RecordNo: 266, RC:-32767, Lat:42.450549, Long:-83.276596 ",42.450549,-83.276596
267,"RecordNo: 267, RC:-32767, Lat:42.450549, Long:-83.276596 ",42.450549,-83.276596
268,"RecordNo: 268, RC:-32767, Lat:42.450549, Long:-83.276596 ",42.450549,-83.276596
269,"RecordNo: 269, RC:-32767, Lat:42.450549, Long:-83.276583 ",42.450549,-83.276583
270,"RecordNo: 270, RC:-32767, Lat:42.450549, Long:-83.276583 ",42.450549,-83.276583
271,"RecordNo: 271, RC:-32767, Lat:42.450549, Long:-83.276583 ",42.450549,-83.276583
272,"RecordNo: 272, RC:-32767, Lat:42.450549, Long:-83.276583 ",42.450549,-83.276583
273,"RecordNo: 273, RC:-32767, Lat:42.450548, Long:-83.276563 ",42.450548,-83.276563
274,"RecordNo: 274, RC:-32767, Lat:42.450548, Long:-83.276563 ",42.450548,-83.276563
275,"RecordNo: 275, RC:-32767, Lat:42.450548, Long:-83.276563 ",42.450548,-83.276563
276,"RecordNo: 276, RC:-32767, Lat:42.450548, Long:-83.276563 ",42.450548,-83.276563
277,"RecordNo: 277, RC:-32767, Lat:42.450547, Long:-83.276537 ",42.450547,-83.276537
278,"RecordNo: 278, RC:7660, Lat:42.450547, Long:-83.276537 ",42.450547,-83.276537
279,"RecordNo: 279, RC:7660, Lat:42.450547, Long:-83.276537 ",42.450547,-83.276537
280,"RecordNo: 280, RC:7660, Lat:42.450547, Long:-83.276537 ",42.450547,-83.276537
